source_file,model,variant,input_len,output_len,offered_qps,sample_count,power_w_mean,power_w_median,power_w_max,gpu_temp_c_mean,gpu_temp_c_median,gpu_temp_c_max,memory_temp_c_mean,memory_temp_c_median,memory_temp_c_max,sm_util_pct_mean,sm_util_pct_median,sm_util_pct_max,memory_util_pct_mean,memory_util_pct_median,memory_util_pct_max,framebuffer_mb_mean,framebuffer_mb_median,framebuffer_mb_max,bar1_mb_mean,bar1_mb_median,bar1_mb_max,pcie_rx_mb_s_mean,pcie_rx_mb_s_median,pcie_rx_mb_s_max,pcie_tx_mb_s_mean,pcie_tx_mb_s_median,pcie_tx_mb_s_max
bench/bench_results/Llama-3.1-8B/NVIDIA-H200/vllm-0.18.0-no-opts/mon/default-random-768x192-2qps-200p.txt,Llama-3.1-8B,no-opts,768,192,2.0,239,511.1338912133891,537.0,545.0,56.33054393305439,58.0,64.0,57.50209205020921,60.0,62.0,83.4979079497908,89.0,90.0,62.7489539748954,67.0,68.0,116819.23430962343,116825.0,116825.0,116820.23430962343,116826.0,116826.0,40.48953974895397,42.0,67.0,13.564853556485355,14.0,41.0
bench/bench_results/Llama-3.1-8B/NVIDIA-H200/vllm-0.18.0-no-opts/mon/default-random-768x32-2qps-200p.txt,Llama-3.1-8B,no-opts,768,32,2.0,109,294.26605504587155,295.0,560.0,52.19266055045872,52.0,59.0,50.211009174311926,49.0,59.0,35.15596330275229,4.0,91.0,25.605504587155963,2.0,68.0,116812.35779816513,116825.0,116825.0,116813.35779816513,116826.0,116826.0,16.03669724770642,0.0,79.0,5.064220183486238,0.0,18.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+q/mon/default-random-128x128-2qps-200p.txt,Llama-3.2-3B,all+q,128,128,2.0,115,315.62608695652176,334.0,488.0,46.791304347826085,47.0,53.0,42.63478260869565,43.0,48.0,60.278260869565216,100.0,100.0,17.356521739130436,18.0,35.0,130558.49565217391,130559.0,130559.0,130559.49565217391,130560.0,130560.0,27.643478260869564,41.0,69.0,6.886956521739131,10.0,15.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+q/mon/default-random-128x512-2qps-200p.txt,Llama-3.2-3B,all+q,128,512,2.0,112,452.4375,497.0,509.0,54.94642857142857,58.0,59.0,49.5625,52.0,54.0,87.79464285714286,100.0,100.0,30.321428571428573,34.0,36.0,130686.53571428571,130687.0,130687.0,130687.53571428571,130688.0,130688.0,55.61607142857143,59.0,109.0,11.901785714285714,13.0,39.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+q/mon/default-random-512x128-16qps-200p.txt,Llama-3.2-3B,all+q,512,128,16.0,26,295.03846153846155,265.5,484.0,41.38461538461539,39.5,49.0,37.46153846153846,36.0,44.0,41.42307692307692,32.0,100.0,15.115384615384615,11.0,35.0,130685.0,130685.0,130687.0,130686.0,130686.0,130688.0,57.57692307692308,3.0,212.0,9.5,0.5,29.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+q/mon/default-random-512x128-1qps-200p.txt,Llama-3.2-3B,all+q,512,128,1.0,205,243.0878048780488,230.0,480.0,41.795121951219514,41.0,49.0,38.50731707317073,38.0,44.0,39.40975609756097,0.0,100.0,9.541463414634146,0.0,34.0,130686.58048780488,130687.0,130687.0,130687.58048780488,130688.0,130688.0,19.68780487804878,0.0,63.0,5.117073170731707,1.0,18.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+q/mon/default-random-512x128-2qps-200p.txt,Llama-3.2-3B,all+q,512,128,2.0,110,333.41818181818184,339.5,486.0,44.4,45.0,50.0,40.71818181818182,42.0,45.0,64.86363636363636,97.0,100.0,18.836363636363636,18.0,34.0,130686.5090909091,130687.0,130687.0,130687.5090909091,130688.0,130688.0,30.98181818181818,40.0,82.0,7.545454545454546,10.0,36.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+q/mon/default-random-512x128-4qps-200p.txt,Llama-3.2-3B,all+q,512,128,4.0,62,385.80645161290323,472.0,486.0,45.806451612903224,48.0,51.0,41.645161290322584,44.0,46.0,70.01612903225806,91.0,100.0,23.161290322580644,31.0,35.0,130686.16129032258,130687.0,130687.0,130687.16129032258,130688.0,130688.0,39.854838709677416,43.0,90.0,9.758064516129032,12.0,19.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+q/mon/default-random-512x128-8qps-200p.txt,Llama-3.2-3B,all+q,512,128,8.0,38,349.8157894736842,463.5,485.0,43.76315789473684,46.0,50.0,39.68421052631579,42.5,45.0,57.578947368421055,84.5,100.0,20.394736842105264,29.5,37.0,130685.63157894737,130687.0,130687.0,130686.63157894737,130688.0,130688.0,48.60526315789474,57.5,109.0,9.31578947368421,13.0,20.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+q/mon/default-random-768x192-2qps-200p.txt,Llama-3.2-3B,all+q,768,192,2.0,110,400.41818181818184,480.5,500.0,50.263636363636365,52.0,54.0,46.20909090909091,48.0,50.0,78.06363636363636,100.0,100.0,25.21818181818182,34.0,36.0,130686.5090909091,130687.0,130687.0,130687.5090909091,130688.0,130688.0,40.32727272727273,44.0,92.0,9.572727272727272,12.0,16.0
